timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect;;;
1,73E+12;605;HTTP;Request;200;OK;Thread;Group;1-82;text;false;The operation lasted too long: It took 605 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;20;20;https://ptibeadando.eleshu.hu/;605;0;294
1,73E+12;479;HTTP;Request;200;OK;Thread;Group;1-90;text;true;1197;126;19;19;https://ptibeadando.eleshu.hu/;479;0;352;
1,73E+12;488;HTTP;Request;200;OK;Thread;Group;1-89;text;true;1197;126;18;18;https://ptibeadando.eleshu.hu/;488;0;351;
1,73E+12;454;HTTP;Request;200;OK;Thread;Group;1-97;text;true;1197;126;17;17;https://ptibeadando.eleshu.hu/;454;0;309;
1,73E+12;524;HTTP;Request;200;OK;Thread;Group;1-91;text;true;1197;126;16;16;https://ptibeadando.eleshu.hu/;524;0;356;
1,73E+12;505;HTTP;Request;200;OK;Thread;Group;1-93;text;true;1197;126;16;16;https://ptibeadando.eleshu.hu/;505;0;351;
1,73E+12;526;HTTP;Request;200;OK;Thread;Group;1-92;text;true;1197;126;14;14;https://ptibeadando.eleshu.hu/;526;0;350;
1,73E+12;462;HTTP;Request;200;OK;Thread;Group;1-96;text;true;1197;126;13;13;https://ptibeadando.eleshu.hu/;462;0;345;
1,73E+12;446;HTTP;Request;200;OK;Thread;Group;1-100;text;true;1197;126;12;12;https://ptibeadando.eleshu.hu/;445;0;237;
1,73E+12;462;HTTP;Request;200;OK;Thread;Group;1-98;text;true;1197;126;12;12;https://ptibeadando.eleshu.hu/;462;0;328;
1,73E+12;462;HTTP;Request;200;OK;Thread;Group;1-99;text;true;1197;126;10;10;https://ptibeadando.eleshu.hu/;462;0;352;
1,73E+12;670;HTTP;Request;200;OK;Thread;Group;1-76;text;false;The operation lasted too long: It took 670 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;9;9;https://ptibeadando.eleshu.hu/;670;0;593
1,73E+12;635;HTTP;Request;200;OK;Thread;Group;1-66;text;false;The operation lasted too long: It took 635 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;8;8;https://ptibeadando.eleshu.hu/;635;0;405
1,73E+12;579;HTTP;Request;200;OK;Thread;Group;1-83;text;true;1197;126;7;7;https://ptibeadando.eleshu.hu/;579;0;477;
1,73E+12;443;HTTP;Request;200;OK;Thread;Group;1-94;text;true;1197;126;6;6;https://ptibeadando.eleshu.hu/;443;0;350;
1,73E+12;624;HTTP;Request;200;OK;Thread;Group;1-84;text;false;The operation lasted too long: It took 624 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;6;6;https://ptibeadando.eleshu.hu/;623;0;539
1,73E+12;577;HTTP;Request;200;OK;Thread;Group;1-88;text;true;1197;126;4;4;https://ptibeadando.eleshu.hu/;577;0;508;
1,73E+12;580;HTTP;Request;200;OK;Thread;Group;1-87;text;true;1197;126;3;3;https://ptibeadando.eleshu.hu/;580;0;512;
1,73E+12;1319;HTTP;Request;200;OK;Thread;Group;15.jan;text;false;The operation lasted too long: It took 1,319 milliseconds, but should not have lasted longer than 600 milliseconds.;1197;126;2;2;https://ptibeadando.eleshu.hu/;1319;0;500
1,73E+12;318;HTTP;Request;200;OK;Thread;Group;1-95;text;true;1197;126;1;1;https://ptibeadando.eleshu.hu/;318;0;250;
