timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732362096155,1718,HTTP Request,200,OK,Thread Group 1-34,text,false,"The operation lasted too long: It took 1,718 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,33,33,https://ptibeadando.eleshu.hu/,1718,0,493
1732362095926,1944,HTTP Request,200,OK,Thread Group 1-11,text,false,"The operation lasted too long: It took 1,944 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1944,0,930
1732362096625,1247,HTTP Request,200,OK,Thread Group 1-75,text,false,"The operation lasted too long: It took 1,247 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1247,0,754
1732362095966,1904,HTTP Request,200,OK,Thread Group 1-15,text,false,"The operation lasted too long: It took 1,904 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1904,0,620
1732362096175,1696,HTTP Request,200,OK,Thread Group 1-36,text,false,"The operation lasted too long: It took 1,696 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1696,0,514
1732362095894,1977,HTTP Request,200,OK,Thread Group 1-6,text,false,"The operation lasted too long: It took 1,977 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1977,0,904
1732362095906,1969,HTTP Request,200,OK,Thread Group 1-9,text,false,"The operation lasted too long: It took 1,969 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,25,25,https://ptibeadando.eleshu.hu/,1968,0,921
1732362096405,1470,HTTP Request,200,OK,Thread Group 1-52,text,false,"The operation lasted too long: It took 1,470 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,25,25,https://ptibeadando.eleshu.hu/,1470,0,665
1732362096025,1846,HTTP Request,200,OK,Thread Group 1-21,text,false,"The operation lasted too long: It took 1,846 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1846,0,984
1732362096267,1609,HTTP Request,200,OK,Thread Group 1-38,text,false,"The operation lasted too long: It took 1,609 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,21,21,https://ptibeadando.eleshu.hu/,1609,0,233
1732362096005,1871,HTTP Request,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 1,871 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,21,21,https://ptibeadando.eleshu.hu/,1871,0,1030
1732362096044,1832,HTTP Request,200,OK,Thread Group 1-23,text,false,"The operation lasted too long: It took 1,832 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,21,21,https://ptibeadando.eleshu.hu/,1832,0,939
1732362095904,1972,HTTP Request,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 1,972 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,20,20,https://ptibeadando.eleshu.hu/,1972,0,864
1732362095936,1941,HTTP Request,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 1,941 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,19,19,https://ptibeadando.eleshu.hu/,1933,0,749
1732362096085,1792,HTTP Request,200,OK,Thread Group 1-27,text,false,"The operation lasted too long: It took 1,792 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,19,19,https://ptibeadando.eleshu.hu/,1792,0,544
1732362096456,1421,HTTP Request,200,OK,Thread Group 1-57,text,false,"The operation lasted too long: It took 1,421 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,18,18,https://ptibeadando.eleshu.hu/,1413,0,709
